[il],[ilce],[mahalle/koy],[lat],[lon]
ADANA, CEYHAN, SOYSALLI MAH., 37.143519, 35.665830
ADANA, CEYHAN, ŞAHİN ÖZBİLEN MAH., 37.035218, 35.822613
ADANA, CEYHAN, ŞEHİT HACI İBRAHİM MAH., 37.038437, 35.815696
ADANA, CEYHAN, TATARLI MAH., 37.124632, 36.053084
ADANA, CEYHAN, TATLIKUYU MAH., 37.117273, 35.713791
ADANA, CEYHAN, TOKTAMIŞ MAH., 36.999086, 35.767393
ADANA, CEYHAN, TUMLU MAH., 37.149495, 35.706119
ADANA, CEYHAN, TÜRLÜBAŞ MAH., 37.021916, 35.806066
ADANA, CEYHAN, ULUS MAH., 37.026705, 35.818355
ADANA, CEYHAN, ÜÇDUTYEŞİLOVA MAH., 37.233321, 35.753694
ADANA, CEYHAN, YALAK MAH., 37.111259, 35.931012
ADANA, CEYHAN, YARSUAT MAH., 37.043226, 35.805006
ADANA, CEYHAN, YELLİBEL MAH., 36.867909, 35.735647
ADANA, CEYHAN, YENİKÖYNAZIMBEY MAH., 36.949397, 35.762524
ADANA, CEYHAN, YEŞİLBAHÇE MAH., 37.168570, 35.822927
ADANA, CEYHAN, YEŞİLDAM MAH., 37.228480, 35.877581
ADANA, CEYHAN, YILANKALE MAH., 37.018768, 35.756613
ADANA, FEKE, AKKAYA MAH., 37.756391, 35.893840
ADANA, FEKE, AKOLUK MAH., 37.749315, 36.020296
ADANA, FEKE, BAĞDATLI MAH., 37.914569, 35.845636
ADANA, FEKE, BAHÇECİK MAH., 37.989093, 35.740659
ADANA, FEKE, BELENKÖY MAH., 37.862655, 35.852356
ADANA, FEKE, ÇANDIRLAR MAH., 37.872240, 35.754457
ADANA, FEKE, ÇONDU MAH., 37.909928, 35.658455
ADANA, FEKE, ÇÜRÜKLER MAH., 37.886003, 35.976422
ADANA, FEKE, DEĞİRMENCİUŞAĞI MAH., 37.835273, 35.767995
ADANA, FEKE, GAFFARUŞAĞI MAH., 37.845681, 35.688252
ADANA, FEKE, GEDİKLİ MAH., 38.029400, 35.923368
ADANA, FEKE, GÖBELLİ MAH., 37.910391, 35.954485
ADANA, FEKE, GÖKÇELİ MAH., 37.831654, 35.854090
ADANA, FEKE, GÜRÜMZE MAH., 37.986619, 35.807054
ADANA, FEKE, GÜZPINARI MAH., 37.963502, 35.894190
ADANA, FEKE, HIDIRUŞAĞI MAH., 37.880607, 35.773915
ADANA, FEKE, İNCİRCİ MAH., 37.743866, 35.998152
ADANA, FEKE, İSLAM MAH., 37.814737, 35.911654
